10	63	1024	2
0.0016	0.0006	
0.0021	0.0007	
0.0027	0.0006	
0.0033	0.0006	
0.0039	0.0005	
0.0043	0.0004	
0.0044	0.0004	
0.0042	0.0004	
0.0037	0.0004	
0.0032	0.0002	
0.0027	0.0001	
0.0021	-0.0001	
0.0012	-0.0004	
0.0001	-0.0005	
-0.001	-0.0006	
-0.002	-0.0006	
-0.0028	-0.0006	
-0.0032	-0.0006	
-0.0033	-0.0006	
-0.0031	-0.0004	
-0.0028	-0.0001	
-0.0021	0.0002	
-0.0012	0.0005	
0.000	0.0007	
0.0011	0.0007	
0.002	0.0005	
0.0022	0.0002	
0.0018	0.0001	
0.0011	0.0002	
0.0006	0.0004	
0.0001	0.0004	
0.000	0.0004	
-0.0001	0.0005	
0.0001	0.0006	
0.0009	0.0006	
0.0016	0.0007	
0.0024	0.0006	
0.0031	0.0005	
0.0034	0.0004	
0.0034	0.0002	
0.0032	0.000	
0.0026	-0.0001	
0.0018	-0.0004	
0.0011	-0.0006	
0.0005	-0.0009	
-0.0006	-0.001	
-0.0017	-0.001	
-0.0027	-0.0009	
-0.0035	-0.0007	
-0.004	-0.0005	
-0.0043	-0.0004	
-0.0043	-0.0002	
-0.004	-0.0001	
-0.0037	0.000	
-0.0028	0.0001	
-0.0018	0.0001	
-0.0007	0.0001	
0.0002	-0.0001	
0.001	-0.0001	
0.001	-0.0001	
0.0005	0.000	
0.000	0.0001	
-0.0005	0.0001	
-0.0007	0.000	
-0.0009	0.000	
-0.001	0.000	
-0.0006	0.0001	
0.000	0.0002	
0.0007	0.0004	
0.0013	0.0004	
0.0018	0.0005	
0.0021	0.0005	
0.0021	0.0006	
0.0017	0.0004	
0.0012	0.0004	
0.0006	0.0001	
0.000	-0.0001	
-0.0009	-0.0005	
-0.002	-0.0007	
-0.0032	-0.0009	
-0.0044	-0.0009	
-0.0051	-0.0007	
-0.0056	-0.0006	
-0.0057	-0.0005	
-0.0056	-0.0004	
-0.0052	-0.0002	
-0.0046	-0.0001	
-0.0038	0.000	
-0.0027	0.000	
-0.0016	0.000	
-0.0005	-0.0001	
0.000	-0.0001	
-0.0002	-0.0001	
-0.0007	0.000	
-0.0011	0.000	
-0.0015	-0.0001	
-0.0017	-0.0001	
-0.0017	-0.0001	
-0.0016	0.000	
-0.0012	0.000	
-0.0005	0.0001	
0.0001	0.0002	
0.0009	0.0002	
0.0012	0.0002	
0.0012	0.0001	
0.001	0.000	
0.0006	-0.0002	
0.000	-0.0002	
-0.0005	-0.0004	
-0.0012	-0.0007	
-0.0021	-0.001	
-0.0029	-0.001	
-0.004	-0.0011	
-0.005	-0.0012	
-0.0056	-0.0012	
-0.0061	-0.0012	
-0.0061	-0.001	
-0.0059	-0.0007	
-0.0054	-0.0005	
-0.0048	-0.0002	
-0.0037	0.000	
-0.0026	0.000	
-0.0013	-0.0002	
-0.0005	-0.0004	
-0.0004	-0.0005	
-0.0007	-0.0005	
-0.0012	-0.0004	
-0.0015	-0.0002	
-0.0017	-0.0002	
-0.0018	-0.0001	
-0.0018	-0.0001	
-0.0016	0.0001	
-0.001	0.0002	
-0.0002	0.0002	
0.0005	0.0001	
0.0012	0.0001	
0.0015	0.0001	
0.0015	0.0001	
0.001	0.000	
0.0004	0.000	
-0.0005	-0.0001	
-0.0011	-0.0005	
-0.0018	-0.0009	
-0.0027	-0.0011	
-0.0037	-0.0013	
-0.0045	-0.0012	
-0.005	-0.0012	
-0.0054	-0.0011	
-0.0054	-0.0011	
-0.0051	-0.0009	
-0.0048	-0.0007	
-0.0044	-0.0006	
-0.0037	-0.0002	
-0.0027	-0.0001	
-0.0016	-0.0001	
-0.0005	-0.0002	
0.0001	-0.0004	
0.000	-0.0005	
-0.0005	-0.0004	
-0.001	-0.0004	
-0.0013	-0.0002	
-0.0013	-0.0001	
-0.0013	-0.0001	
-0.0012	0.000	
-0.0006	0.0001	
0.000	0.0002	
0.0009	0.0002	
0.0017	0.0002	
0.0021	0.0002	
0.0023	0.0001	
0.0021	0.0001	
0.0017	0.0001	
0.0012	0.0001	
0.0006	-0.0001	
-0.0001	-0.0005	
-0.001	-0.0009	
-0.0021	-0.0011	
-0.0032	-0.0012	
-0.0039	-0.0011	
-0.0044	-0.001	
-0.0044	-0.0009	
-0.0043	-0.0007	
-0.004	-0.0006	
-0.0037	-0.0005	
-0.0032	-0.0004	
-0.0023	-0.0001	
-0.0012	-0.0001	
0.000	-0.0001	
0.0009	-0.0001	
0.0012	-0.0002	
0.0012	-0.0002	
0.0009	-0.0001	
0.0005	-0.0001	
0.0004	0.000	
0.0002	0.0001	
0.0001	0.0002	
0.0004	0.0004	
0.0009	0.0005	
0.0015	0.0005	
0.0021	0.0005	
0.0027	0.0004	
0.0029	0.0004	
0.0031	0.0001	
0.0028	0.000	
0.0024	-0.0001	
0.002	-0.0004	
0.0015	-0.0006	
0.0006	-0.001	
-0.0004	-0.0011	
-0.0016	-0.0011	
-0.0026	-0.001	
-0.0033	-0.0009	
-0.0037	-0.0006	
-0.0038	-0.0006	
-0.0035	-0.0004	
-0.0032	-0.0002	
-0.0028	-0.0001	
-0.0022	0.000	
-0.0013	0.000	
0.000	-0.0001	
0.0011	-0.0002	
0.0018	-0.0005	
0.002	-0.0005	
0.0016	-0.0004	
0.0011	-0.0001	
0.0007	0.000	
0.0006	0.0002	
0.0004	0.0009	
0.0004	0.0018	
0.0007	0.0027	
0.0013	0.0023	
0.0022	0.0002	
0.0029	-0.0034	
0.0037	-0.0074	
0.0039	-0.0111	
0.0038	-0.0135	
0.0033	-0.0148	
0.0023	-0.015	
0.0013	-0.0146	
0.0002	-0.0139	
-0.0011	-0.0135	
-0.0023	-0.0131	
-0.0032	-0.012	
-0.0037	-0.0098	
-0.0034	-0.0063	
-0.0026	-0.0027	
-0.0016	0.0001	
-0.0007	0.0018	
-0.0005	0.0023	
-0.0005	0.0027	
-0.0007	0.0042	
-0.0004	0.0072	
0.0002	0.0115	
0.0012	0.0157	
0.0023	0.0184	
0.0034	0.0187	
0.0043	0.0171	
0.005	0.0144	
0.0054	0.0121	
0.0051	0.0104	
0.0044	0.009	
0.0033	0.0073	
0.0023	0.0048	
0.0018	0.0018	
0.002	-0.0011	
0.0024	-0.0031	
0.0034	-0.0039	
0.0043	-0.0033	
0.0048	-0.0016	
0.0048	0.0005	
0.0043	0.0018	
0.0032	0.0016	
0.0016	-0.0009	
-0.0004	-0.0045	
-0.0023	-0.0082	
-0.0042	-0.0106	
-0.0051	-0.0103	
-0.0056	-0.007	
-0.0051	-0.0012	
-0.0042	0.0057	
-0.0029	0.0127	
-0.0016	0.0179	
-0.0002	0.0203	
